name,bat86,hits86,hRuns86,runs86,Runbat86,walk86,years
Steve_Jeltz,439,96,0,44,36,65,4
Steve_Lombardozzi,453,103,8,53,33,52,2
Spike_Owen,528,122,1,67,45,51,4
Steve_Sax,633,210,6,91,56,59,6
Tony_Armas,16,2,0,1,0,0,2
Tony_Bernazard,562,169,17,88,73,53,8
Tom_Brookens,281,76,3,42,25,20,8
Tom_Brunansky,593,152,23,69,75,53,6
Tony_Fernandez,687,213,10,91,65,27,4
Tim_Flannery,368,103,3,48,28,54,8
Tom_Foley,263,70,1,26,23,30,4
Tony_Gwynn,642,211,14,107,59,52,5
Terry_Harper,265,68,8,26,30,29,7
Toby_Harrah,289,63,7,36,41,44,17
Tommy_Herr,559,141,2,48,61,73,8
Tim_Hulett,520,120,17,53,44,21,4
Terry_Kennedy,19,4,1,2,3,1,1
Tito_Landrum,205,43,2,24,17,20,7
Tim_Laudner,193,47,10,21,29,24,6
Tom_O'Malley,181,46,1,19,18,17,5
Tom_Paciorek,213,61,4,17,22,3,17
Tony_Pena,510,147,10,56,52,53,7
Terry_Pendleton,578,138,1,56,59,34,3
Tony_Perez,200,51,2,14,29,25,23
Tony_Phillips,441,113,5,76,52,76,5
Terry_Puhl,172,42,3,17,14,15,10
Tim_Raines,580,194,9,91,62,78,8
Ted_Simmons,127,32,4,14,25,12,19
Tim_Teufel,279,69,4,35,31,32,4
Tim_Wallach,480,112,18,50,71,44,7
Vince_Coleman,600,139,0,94,29,60,2
Von_Hayes,610,186,19,107,98,74,6
Vance_Law,360,81,5,37,44,37,7
Wally_Backman,387,124,1,67,27,36,7
Wade_Boggs,580,207,8,107,71,105,5
Will_Clark,408,117,11,66,41,34,1
Wally_Joyner,593,172,22,82,100,57,1
Wayne_Krenchicki,221,53,2,21,23,22,8
Willie_McGee,497,127,7,65,48,37,5
Willie_Randolph,492,136,5,76,50,94,12
Wayne_Tolleson,475,126,3,61,43,52,6
Willie_Upshaw,573,144,9,85,60,78,8
Willie_Wilson,631,170,9,77,44,31,11
